,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1795,Mon,2017-10-30,20:00,Las Palmas,1.1,1–3,1.6,La Coruña,14805.0,Estadio de Gran Canaria,Carlos del Cerro
1796,Mon,2017-10-30,21:00,Espanyol,0.8,1–0,0.4,Betis,17856.0,RCDE Stadium,Ignacio Iglesias
1798,Fri,2017-11-03,21:00,Betis,1.1,2–2,0.5,Getafe,42323.0,Estadio Benito Villamarín,Antonio Matéu Lahoz
1799,Sat,2017-11-04,13:00,Valencia,2.2,3–0,1.0,Leganés,39694.0,Estadio de Mestalla,Ricardo de Burgos
1800,Sat,2017-11-04,16:15,La Coruña,0.5,0–1,0.5,Atlético Madrid,22733.0,Estadio Municipal de Riazor,Alfonso Álvarez
1801,Sat,2017-11-04,18:30,Alavés,1.2,1–0,0.8,Espanyol,19368.0,Estadio de Mendizorroza,Pablo González
1802,Sat,2017-11-04,20:45,Barcelona,2.0,2–1,0.4,Sevilla,70723.0,Camp Nou,José González
1803,Sun,2017-11-05,12:00,Levante,0.6,1–2,1.1,Girona,18324.0,Estadio Ciudad de Valencia,José Munuera
1804,Sun,2017-11-05,16:15,Celta Vigo,1.2,3–1,1.6,Athletic Club,19779.0,Estadio de Balaídos,Jesús Gil
1805,Sun,2017-11-05,18:30,Real Sociedad,2.1,3–1,0.4,Eibar,20387.0,Estadio Municipal de Anoeta,Daniel Trujillo
1806,Sun,2017-11-05,18:30,Villarreal,0.9,2–0,0.6,Málaga,17755.0,Estadio de la Cerámica,Javier Estrada
1807,Sun,2017-11-05,20:45,Real Madrid,2.0,3–0,0.1,Las Palmas,67120.0,Estadio Santiago Bernabéu,José Sánchez
1809,Fri,2017-11-17,21:00,Girona,1.2,1–1,1.3,Real Sociedad,10136.0,Estadi Municipal de Montilivi,Ignacio Iglesias
1810,Sat,2017-11-18,13:00,Getafe,2.5,4–1,0.6,Alavés,10014.0,Coliseum Alfonso Pérez,Santiago Jaime
1811,Sat,2017-11-18,16:15,Leganés,1.1,0–3,1.9,Barcelona,11454.0,Estadio Municipal de Butarque,Alberto Undiano
1812,Sat,2017-11-18,18:30,Sevilla,1.3,2–1,1.7,Celta Vigo,35030.0,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro
1813,Sat,2017-11-18,20:45,Atlético Madrid,0.9,0–0,1.3,Real Madrid,66496.0,Estadio Wanda Metropolitano,David Fernández
1814,Sun,2017-11-19,12:00,Málaga,1.7,3–2,1.6,La Coruña,24563.0,Estadio La Rosaleda,Juan Martínez
1815,Sun,2017-11-19,16:15,Espanyol,1.2,0–2,0.7,Valencia,25529.0,RCDE Stadium,Alejandro Hernández
1816,Sun,2017-11-19,17:30,Las Palmas,0.7,0–2,0.9,Levante,26212.0,Estadio de Gran Canaria,Mario Melero
1817,Sun,2017-11-19,20:45,Athletic Club,0.7,1–1,1.1,Villarreal,36666.0,San Mamés,David Medié
1818,Mon,2017-11-20,21:00,Eibar,2.2,5–0,1.0,Betis,4638.0,Estadio Municipal de Ipurúa,José González
1820,Fri,2017-11-24,21:00,Celta Vigo,1.6,1–0,1.2,Leganés,10611.0,Estadio de Balaídos,Alejandro Hernández
1821,Sat,2017-11-25,13:00,Alavés,0.4,1–2,0.7,Eibar,19272.0,Estadio de Mendizorroza,José Munuera
1822,Sat,2017-11-25,16:15,Real Madrid,2.4,3–2,0.3,Málaga,75671.0,Estadio Santiago Bernabéu,Jesús Gil
1823,Sat,2017-11-25,18:30,Betis,1.0,2–2,1.3,Girona,45681.0,Estadio Benito Villamarín,Carlos del Cerro
1824,Sat,2017-11-25,20:45,Levante,1.3,0–5,3.6,Atlético Madrid,21549.0,Estadio Ciudad de Valencia,Daniel Trujillo
1825,Sun,2017-11-26,12:00,La Coruña,1.8,2–2,1.1,Athletic Club,20879.0,Estadio Municipal de Riazor,José González
1826,Sun,2017-11-26,16:15,Real Sociedad,2.2,2–2,1.9,Las Palmas,19780.0,Estadio Municipal de Anoeta,Pablo González
1827,Sun,2017-11-26,18:30,Villarreal,2.3,2–3,1.6,Sevilla,18698.0,Estadio de la Cerámica,Alberola Rojas
1828,Sun,2017-11-26,20:45,Valencia,1.2,1–1,1.0,Barcelona,47775.0,Estadio de Mestalla,Ignacio Iglesias
1829,Mon,2017-11-27,21:00,Espanyol,1.2,1–0,1.0,Getafe,11756.0,RCDE Stadium,Juan Martínez
1831,Fri,2017-12-01,21:00,Málaga,0.7,0–0,0.7,Levante,17886.0,Estadio La Rosaleda,Ricardo de Burgos
1832,Sat,2017-12-02,13:00,Barcelona,3.0,2–2,1.4,Celta Vigo,63208.0,Camp Nou,Mario Melero
1833,Sat,2017-12-02,16:15,Atlético Madrid,2.7,2–1,1.7,Real Sociedad,57394.0,Estadio Wanda Metropolitano,Santiago Jaime
1834,Sat,2017-12-02,18:30,Sevilla,1.1,2–0,0.7,La Coruña,32017.0,Estadio Ramón Sánchez Pizjuán,José Sánchez
1835,Sat,2017-12-02,20:45,Athletic Club,1.0,0–0,1.1,Real Madrid,44884.0,San Mamés,Antonio Matéu Lahoz
1836,Sun,2017-12-03,12:00,Leganés,2.0,3–1,1.1,Villarreal,10017.0,Estadio Municipal de Butarque,David Fernández
1837,Sun,2017-12-03,16:15,Getafe,0.8,1–0,0.6,Valencia,12480.0,Coliseum Alfonso Pérez,David Medié
1838,Sun,2017-12-03,18:30,Eibar,1.8,3–1,0.4,Espanyol,4693.0,Estadio Municipal de Ipurúa,Alberto Undiano
1839,Sun,2017-12-03,19:45,Las Palmas,2.2,1–0,0.4,Betis,16313.0,Estadio de Gran Canaria,Javier Estrada
1840,Mon,2017-12-04,21:00,Girona,0.6,2–3,1.7,Alavés,7316.0,Estadi Municipal de Montilivi,Alberola Rojas
1842,Fri,2017-12-08,21:00,Alavés,3.4,2–0,0.3,Las Palmas,18567.0,Estadio de Mendizorroza,David Medié
1843,Sat,2017-12-09,13:00,Getafe,0.5,0–0,0.9,Eibar,9317.0,Coliseum Alfonso Pérez,Alberola Rojas
1844,Sat,2017-12-09,16:15,Real Madrid,3.0,5–0,0.5,Sevilla,76924.0,Estadio Santiago Bernabéu,Juan Martínez
1845,Sat,2017-12-09,18:30,La Coruña,1.3,1–0,0.1,Leganés,18366.0,Estadio Municipal de Riazor,Mario Melero
1846,Sat,2017-12-09,20:45,Valencia,1.5,2–1,1.2,Celta Vigo,35633.0,Estadio de Mestalla,José Munuera
1847,Sun,2017-12-10,12:00,Real Sociedad,1.6,0–2,1.7,Málaga,16834.0,Estadio Municipal de Anoeta,Carlos del Cerro
