,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1664,Regular Season,Mon,2018-04-09,20:30,RB Leipzig,1.6,1–4,1.6,Leverkusen,35617.0,Red Bull Arena,Deniz Aytekin
1666,Regular Season,Fri,2018-04-13,20:30,Wolfsburg,1.1,0–0,0.3,Augsburg,23512.0,Volkswagen Arena,Patrick Ittrich
1667,Regular Season,Sat,2018-04-14,15:30,Hoffenheim,2.5,2–0,0.5,Hamburger SV,30150.0,Dietmar-Hopp-Stadion,Harm Osmers
1668,Regular Season,Sat,2018-04-14,15:30,Hertha BSC,1.7,2–1,1.6,Köln,49253.0,Olympiastadion Berlin,Sören Storks
1669,Regular Season,Sat,2018-04-14,15:30,Leverkusen,2.9,4–1,0.9,Eint Frankfurt,30210.0,BayArena,Felix Brych
1670,Regular Season,Sat,2018-04-14,15:30,Stuttgart,0.9,1–1,0.9,Hannover 96,57131.0,Mercedes-Benz Arena,Sven Jablonski
1671,Regular Season,Sat,2018-04-14,18:30,Bayern Munich,3.4,5–1,0.2,M'Gladbach,75000.0,Allianz Arena,Robert Kampka
1672,Regular Season,Sun,2018-04-15,15:30,Schalke 04,0.8,2–0,0.8,Dortmund,61786.0,Veltins-Arena,Manuel Gräfe
1673,Regular Season,Sun,2018-04-15,18:00,Werder Bremen,1.1,1–1,1.2,RB Leipzig,42100.0,Weserstadion,Christian Dingert
1674,Regular Season,Mon,2018-04-16,20:30,Mainz 05,2.4,2–0,0.4,Freiburg,26407.0,Opel Arena,Guido Winkmann
1676,Regular Season,Fri,2018-04-20,20:30,M'Gladbach,2.1,3–0,0.4,Wolfsburg,47797.0,Stadion im Borussia-Park,Tobias Stieler
1677,Regular Season,Sat,2018-04-21,15:30,Hamburger SV,1.5,1–0,1.0,Freiburg,54847.0,Volksparkstadion,Benjamin Cortus
1678,Regular Season,Sat,2018-04-21,15:30,Stuttgart,1.4,2–0,0.6,Werder Bremen,58932.0,Mercedes-Benz Arena,Sören Storks
1679,Regular Season,Sat,2018-04-21,15:30,RB Leipzig,1.9,2–5,3.0,Hoffenheim,41780.0,Red Bull Arena,Tobias Welz
1680,Regular Season,Sat,2018-04-21,15:30,Hannover 96,0.5,0–3,1.3,Bayern Munich,49000.0,HDI-Arena,Martin Petersen
1681,Regular Season,Sat,2018-04-21,15:30,Eint Frankfurt,1.4,0–3,1.4,Hertha BSC,51000.0,Commerzbank-Arena,Sascha Stegemann
1682,Regular Season,Sat,2018-04-21,18:30,Dortmund,3.2,4–0,0.5,Leverkusen,81360.0,Signal Iduna Park,Markus Schmidt
