,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1060,Sun,2020-01-19,15:00,Lecce,1.2,1–1,2.0,Inter,25966.0,Stadio Comunale Via Del Mare,Piero Giacomelli
1061,Sun,2020-01-19,18:00,Genoa,1.2,1–3,2.3,Roma,20951.0,Stadio Comunale Luigi Ferraris,Fabio Maresca
1062,Sun,2020-01-19,20:45,Juventus,1.2,2–1,0.5,Parma,37790.0,Allianz Stadium,Marco Di Bello
1063,Mon,2020-01-20,20:45,Atalanta,1.8,1–2,1.3,SPAL,16636.0,Stadio Atleti Azzurri d'Italia,Federico La Penna
1065,Fri,2020-01-24,20:45,Brescia,1.4,0–1,2.0,Milan,19451.0,Stadio Mario Rigamonti,Paolo Valeri
1066,Sat,2020-01-25,15:00,SPAL,1.5,1–3,2.0,Bologna,12622.0,Stadio Paolo Mazza,Michael Fabbri
1067,Sat,2020-01-25,18:00,Fiorentina,0.9,0–0,1.6,Genoa,32903.0,Stadio Artemio Franchi,Daniele Orsato
1068,Sat,2020-01-25,20:45,Torino,0.6,0–7,5.2,Atalanta,18824.0,Stadio Olimpico di Torino,Marco Guida
1069,Sun,2020-01-26,12:30,Inter,2.1,1–1,0.6,Cagliari,70465.0,Stadio Giuseppe Meazza,Gianluca Manganiello
1070,Sun,2020-01-26,15:00,Hellas Verona,2.1,3–0,0.5,Lecce,15425.0,Stadio Marc'Antonio Bentegodi,Rosario Abisso
1071,Sun,2020-01-26,15:00,Sampdoria,1.4,0–0,0.5,Sassuolo,19260.0,Stadio Comunale Luigi Ferraris,Marco Piccinini
1072,Sun,2020-01-26,15:00,Parma,0.9,2–0,1.7,Udinese,14250.0,Stadio Ennio Tardini,Simone Sozza
1073,Sun,2020-01-26,18:00,Roma,1.6,1–1,0.6,Lazio,59902.0,Stadio Olimpico,Giampaolo Calvarese
1074,Sun,2020-01-26,20:45,Napoli,1.2,2–1,0.5,Juventus,39111.0,Stadio San Paolo,Maurizio Mariani
1076,Sat,2020-02-01,15:00,Bologna,1.9,2–1,0.9,Brescia,21665.0,Stadio Renato Dall'Ara,Daniele Doveri
1077,Sat,2020-02-01,18:00,Cagliari,2.8,2–2,1.5,Parma,16051.0,Sardegna Arena,Massimiliano Irrati
1078,Sat,2020-02-01,20:45,Sassuolo,3.2,4–2,2.9,Roma,13411.0,Stadio Città del Tricolore,Luca Pairetto
1079,Sun,2020-02-02,12:30,Juventus,2.9,3–0,0.6,Fiorentina,40171.0,Allianz Stadium,Fabrizio Pasqua
1080,Sun,2020-02-02,15:00,Atalanta,2.3,2–2,1.3,Genoa,18755.0,Stadio Atleti Azzurri d'Italia,Davide Massa
1081,Sun,2020-02-02,15:00,Lazio,2.6,5–1,1.3,SPAL,4000.0,Stadio Olimpico,Antonio Giua
1082,Sun,2020-02-02,15:00,Milan,1.3,1–1,0.8,Hellas Verona,55355.0,Stadio Giuseppe Meazza,Daniele Chiffi
1083,Sun,2020-02-02,18:00,Lecce,2.5,4–0,1.0,Torino,21947.0,Stadio Comunale Via Del Mare,Gianluca Rocchi
1084,Sun,2020-02-02,20:45,Udinese,0.9,0–2,2.7,Inter,23215.0,Dacia Arena,Marco Di Bello
1085,Mon,2020-02-03,20:45,Sampdoria,1.9,2–4,1.3,Napoli,20017.0,Stadio Comunale Luigi Ferraris,Federico La Penna
1087,Wed,2020-02-05,20:45,Lazio,1.3,0–0,1.0,Hellas Verona,40000.0,Stadio Olimpico,Rosario Abisso
1089,Fri,2020-02-07,20:45,Roma,1.1,2–3,1.8,Bologna,31808.0,Stadio Olimpico,Marco Guida
1090,Sat,2020-02-08,15:00,Fiorentina,0.5,1–2,1.7,Atalanta,35034.0,Stadio Artemio Franchi,Maurizio Mariani
1091,Sat,2020-02-08,18:00,Torino,0.5,1–3,2.0,Sampdoria,20664.0,Stadio Olimpico di Torino,Paolo Valeri
1092,Sat,2020-02-08,20:45,Hellas Verona,1.8,2–1,0.7,Juventus,28654.0,Stadio Marc'Antonio Bentegodi,Davide Massa
1093,Sun,2020-02-09,12:30,SPAL,1.4,1–2,2.2,Sassuolo,12988.0,Stadio Paolo Mazza,Piero Giacomelli
1094,Sun,2020-02-09,15:00,Genoa,1.2,1–0,1.1,Cagliari,21301.0,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese
1095,Sun,2020-02-09,15:00,Brescia,0.4,1–1,2.2,Udinese,13586.0,Stadio Mario Rigamonti,Marco Piccinini
1096,Sun,2020-02-09,15:00,Napoli,3.4,2–3,1.7,Lecce,40825.0,Stadio San Paolo,Antonio Giua
1097,Sun,2020-02-09,18:00,Parma,0.6,0–1,1.6,Lazio,17859.0,Stadio Ennio Tardini,Marco Di Bello
1098,Sun,2020-02-09,20:45,Inter,1.4,4–2,2.0,Milan,75817.0,Stadio Giuseppe Meazza,Fabio Maresca
1100,Sat,2020-02-15,15:00,Lecce,1.7,2–1,1.3,SPAL,24129.0,Stadio Comunale Via Del Mare,Marco Guida
1101,Sat,2020-02-15,18:00,Bologna,0.5,0–3,1.5,Genoa,21513.0,Stadio Renato Dall'Ara,Davide Massa
1102,Sat,2020-02-15,20:45,Atalanta,1.3,2–1,0.5,Roma,19830.0,Stadio Atleti Azzurri d'Italia,Daniele Orsato
1103,Sun,2020-02-16,12:30,Udinese,0.9,0–0,1.1,Hellas Verona,22308.0,Dacia Arena,Eugenio Abbattista
1104,Sun,2020-02-16,15:00,Juventus,2.5,2–0,0.3,Brescia,40841.0,Allianz Stadium,Daniele Chiffi
1105,Sun,2020-02-16,15:00,Sampdoria,2.1,1–5,3.2,Fiorentina,20284.0,Stadio Comunale Luigi Ferraris,Massimiliano Irrati
1106,Sun,2020-02-16,15:00,Sassuolo,1.2,0–1,0.8,Parma,12099.0,Stadio Città del Tricolore,Maurizio Mariani
1107,Sun,2020-02-16,18:00,Cagliari,0.3,0–1,0.9,Napoli,13535.0,Sardegna Arena,Daniele Doveri
1108,Sun,2020-02-16,20:45,Lazio,1.6,2–1,0.8,Inter,62500.0,Stadio Olimpico,Gianluca Rocchi
1109,Mon,2020-02-17,20:45,Milan,0.9,1–0,0.4,Torino,46114.0,Stadio Giuseppe Meazza,Michael Fabbri
1111,Fri,2020-02-21,20:45,Brescia,1.0,1–2,1.2,Napoli,14703.0,Stadio Mario Rigamonti,Daniele Orsato
1112,Sat,2020-02-22,15:00,Bologna,1.3,1–1,0.5,Udinese,21523.0,Stadio Renato Dall'Ara,Fabrizio Pasqua
1113,Sat,2020-02-22,18:00,SPAL,1.0,1–2,2.2,Juventus,15262.0,Stadio Paolo Mazza,Federico La Penna
1114,Sat,2020-02-22,20:45,Fiorentina,1.9,1–1,0.7,Milan,39769.0,Stadio Artemio Franchi,Giampaolo Calvarese
1115,Sun,2020-02-23,12:30,Genoa,1.6,2–3,2.0,Lazio,25000.0,Stadio Comunale Luigi Ferraris,Fabio Maresca
1116,Sun,2020-02-23,18:00,Roma,3.8,4–0,0.8,Lecce,34293.0,Stadio Olimpico,Piero Giacomelli
1118,Sat,2020-02-29,15:00,Lazio,1.4,2–0,1.4,Bologna,40000.0,Stadio Olimpico,Rosario Abisso
1119,Sat,2020-02-29,20:45,Napoli,1.9,2–1,0.5,Torino,23586.0,Stadio San Paolo,Maurizio Mariani
1120,Sun,2020-03-01,15:00,Lecce,0.4,2–7,4.6,Atalanta,21344.0,Stadio Comunale Via Del Mare,Davide Massa
1121,Sun,2020-03-01,18:00,Cagliari,1.2,3–4,3.2,Roma,14848.0,Sardegna Arena,Marco Di Bello
1122,Sun,2020-03-08,13:30,Parma,1.3,0–1,0.9,SPAL,,Stadio Ennio Tardini,Luca Pairetto
1123,Sun,2020-03-08,15:00,Milan,1.8,1–2,1.9,Genoa,,Stadio Giuseppe Meazza,Daniele Doveri
1124,Sun,2020-03-08,15:00,Sampdoria,1.4,2–1,1.4,Hellas Verona,,Stadio Comunale Luigi Ferraris,Paolo Valeri
1125,Sun,2020-03-08,18:00,Udinese,0.6,0–0,0.3,Fiorentina,,Dacia Arena,Michael Fabbri
1126,Sun,2020-03-08,20:45,Juventus,1.3,2–0,0.4,Inter,,Allianz Stadium,Marco Guida
1127,Mon,2020-03-09,18:30,Sassuolo,2.1,3–0,0.6,Brescia,,Stadio Città del Tricolore,Gianluca Manganiello
1129,Sat,2020-06-20,19:30,Torino,2.0,1–1,0.3,Parma,,Stadio Olimpico di Torino,Massimiliano Irrati
1130,Sat,2020-06-20,21:45,Hellas Verona,0.5,2–1,1.1,Cagliari,,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello
1131,Sun,2020-06-21,19:30,Atalanta,2.4,4–1,2.7,Sassuolo,,Stadio Atleti Azzurri d'Italia,Daniele Chiffi
1132,Sun,2020-06-21,21:45,Inter,2.7,2–1,0.6,Sampdoria,,Stadio Giuseppe Meazza,Maurizio Mariani
1134,Mon,2020-06-22,19:30,Fiorentina,2.5,1–1,1.3,Brescia,,Stadio Artemio Franchi,Federico La Penna
1135,Mon,2020-06-22,19:30,Lecce,1.3,1–4,2.3,Milan,,Stadio Comunale Via Del Mare,Paolo Valeri
1136,Mon,2020-06-22,21:45,Bologna,0.8,0–2,1.7,Juventus,,Stadio Renato Dall'Ara,Gianluca Rocchi
1137,Tue,2020-06-23,19:30,Hellas Verona,1.6,0–2,1.6,Napoli,,Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua
1138,Tue,2020-06-23,19:30,SPAL,1.1,0–1,1.7,Cagliari,,Stadio Paolo Mazza,Rosario Abisso
1139,Tue,2020-06-23,21:45,Genoa,2.2,1–4,2.0,Parma,,Stadio Comunale Luigi Ferraris,Piero Giacomelli
1140,Tue,2020-06-23,21:45,Torino,0.4,1–0,1.2,Udinese,,Stadio Olimpico di Torino,Fabio Maresca
1141,Wed,2020-06-24,19:30,Inter,3.6,3–3,2.3,Sassuolo,,Stadio Giuseppe Meazza,Davide Massa
1142,Wed,2020-06-24,21:45,Atalanta,2.2,3–2,0.3,Lazio,,Stadio Atleti Azzurri d'Italia,Daniele Orsato
1143,Wed,2020-06-24,21:45,Roma,2.2,2–1,0.9,Sampdoria,,Stadio Olimpico,Giampaolo Calvarese
1145,Fri,2020-06-26,21:45,Juventus,3.4,4–0,0.3,Lecce,,Allianz Stadium,Marco Piccinini
1146,Sat,2020-06-27,17:15,Brescia,1.5,2–2,2.8,Genoa,,Stadio Mario Rigamonti,Massimiliano Irrati
1147,Sat,2020-06-27,19:30,Cagliari,1.7,4–2,1.5,Torino,,Sardegna Arena,Maurizio Mariani
1148,Sat,2020-06-27,21:45,Lazio,1.7,2–1,0.5,Fiorentina,,Stadio Olimpico,Michael Fabbri
1149,Sun,2020-06-28,17:15,Milan,2.5,2–0,0.6,Roma,,Stadio Giuseppe Meazza,Piero Giacomelli
1150,Sun,2020-06-28,19:30,Sampdoria,1.4,1–2,2.2,Bologna,,Stadio Comunale Luigi Ferraris,Daniele Doveri
