,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
461,Regular Season,Wed,2020-12-16,20:30,Hoffenheim,0.8,0–1,0.3,RB Leipzig,,PreZero Arena,Daniel Schlager
462,Regular Season,Wed,2020-12-16,20:30,Bayern Munich,2.0,2–1,1.1,Wolfsburg,,Allianz Arena,Marco Fritz
464,Regular Season,Fri,2020-12-18,20:30,Union Berlin,1.1,2–1,1.7,Dortmund,,Stadion An der Alten Försterei,Harm Osmers
465,Regular Season,Sat,2020-12-19,15:30,RB Leipzig,2.2,0–0,0.5,Köln,,Red Bull Arena,Felix Brych
466,Regular Season,Sat,2020-12-19,15:30,M'Gladbach,1.8,1–2,1.8,Hoffenheim,,Stadion im Borussia-Park,Frank Willenborg
467,Regular Season,Sat,2020-12-19,15:30,Schalke 04,0.6,0–1,0.7,Arminia,,Veltins-Arena,Bastian Dankert
468,Regular Season,Sat,2020-12-19,15:30,Mainz 05,0.5,0–1,0.9,Werder Bremen,,Opel Arena,Guido Winkmann
469,Regular Season,Sat,2020-12-19,15:30,Augsburg,2.0,0–2,1.3,Eint Frankfurt,,WWK Arena,Daniel Siebert
470,Regular Season,Sat,2020-12-19,18:30,Leverkusen,0.3,1–2,1.3,Bayern Munich,,BayArena,Felix Zwayer
471,Regular Season,Sun,2020-12-20,15:30,Freiburg,2.8,4–1,1.8,Hertha BSC,,Schwarzwald-Stadion,Tobias Reichel
472,Regular Season,Sun,2020-12-20,18:00,Wolfsburg,1.8,1–0,1.7,Stuttgart,,Volkswagen Arena,Florian Badstübner
474,Regular Season,Sat,2021-01-02,15:30,Eint Frankfurt,1.4,2–1,0.7,Leverkusen,,Commerzbank-Arena,Felix Brych
475,Regular Season,Sat,2021-01-02,15:30,Arminia,0.2,0–1,2.7,M'Gladbach,,SchücoArena,Sascha Stegemann
476,Regular Season,Sat,2021-01-02,15:30,Köln,0.5,0–1,1.3,Augsburg,,RheinEnergieSTADION,Sören Storks
477,Regular Season,Sat,2021-01-02,15:30,Werder Bremen,1.0,0–2,0.8,Union Berlin,,Weserstadion,Tobias Stieler
478,Regular Season,Sat,2021-01-02,15:30,Hoffenheim,1.2,1–3,1.9,Freiburg,,PreZero Arena,Robert Hartmann
479,Regular Season,Sat,2021-01-02,18:30,Hertha BSC,2.3,3–0,0.9,Schalke 04,,Olympiastadion Berlin,Sven Jablonski
480,Regular Season,Sat,2021-01-02,20:30,Stuttgart,1.1,0–1,3.2,RB Leipzig,,Mercedes-Benz Arena,Christian Dingert
481,Regular Season,Sun,2021-01-03,15:30,Dortmund,1.8,2–0,1.6,Wolfsburg,,Signal Iduna Park,Manuel Gräfe
482,Regular Season,Sun,2021-01-03,18:00,Bayern Munich,3.5,5–2,1.5,Mainz 05,,Allianz Arena,Markus Schmidt
484,Regular Season,Fri,2021-01-08,20:30,M'Gladbach,1.3,3–2,1.4,Bayern Munich,,Stadion im Borussia-Park,Harm Osmers
485,Regular Season,Sat,2021-01-09,15:30,Mainz 05,1.2,0–2,2.3,Eint Frankfurt,,Opel Arena,Bastian Dankert
486,Regular Season,Sat,2021-01-09,15:30,Schalke 04,2.0,4–0,2.4,Hoffenheim,,Veltins-Arena,Felix Zwayer
487,Regular Season,Sat,2021-01-09,15:30,Union Berlin,1.4,2–2,1.8,Wolfsburg,,Stadion An der Alten Försterei,Patrick Ittrich
488,Regular Season,Sat,2021-01-09,15:30,Freiburg,2.9,5–0,0.2,Köln,,Schwarzwald-Stadion,Robert Schröder
489,Regular Season,Sat,2021-01-09,15:30,Leverkusen,0.8,1–1,0.4,Werder Bremen,,BayArena,Benjamin Cortus
490,Regular Season,Sat,2021-01-09,18:30,RB Leipzig,1.0,1–3,2.2,Dortmund,,Red Bull Arena,Daniel Siebert
491,Regular Season,Sun,2021-01-10,15:30,Augsburg,1.0,1–4,4.0,Stuttgart,,WWK Arena,Daniel Schlager
492,Regular Season,Sun,2021-01-10,18:00,Arminia,0.8,1–0,0.8,Hertha BSC,,SchücoArena,Guido Winkmann
494,Regular Season,Fri,2021-01-15,20:30,Union Berlin,1.3,1–0,1.2,Leverkusen,,Stadion An der Alten Försterei,Florian Badstübner
495,Regular Season,Sat,2021-01-16,15:30,Köln,0.4,0–0,0.9,Hertha BSC,,RheinEnergieSTADION,Frank Willenborg
